% Copyright 2016 David Griol, Zoraida Callejas, and Michael McTear
% This file is part of the Conversandroid Toolkit, from the book:
% The Conversational Interface, Michael McTear, Zoraida Callejas and David Griol
% Springer 2016 <https://github.com/zoraidacallejas/ConversationalInterface/>

import android

@relation dataset_pizzeria

@attribute PREV_SYSTEM_ACTION numeric
@attribute TypeOrder numeric
@attribute NumberPizzas numeric
@attribute TypesPizzas numeric
@attribute SizesPizzas numeric
@attribute TypesDoughs numeric
@attribute Drinks numeric
@attribute Acceptance numeric
@attribute Rejection numeric
@attribute NotUnderstood numeric
@attribute SYSTEM_ACTION {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
7,1,1,1,1,1,1,0,0,0,14
1,2,1,1,1,1,0,0,0,0,8
8,1,1,1,1,1,0,1,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,2,1,1,1,0,0,0,0,9
9,1,1,1,1,1,0,1,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,1,1,2,0,0,0,0,12
12,1,1,1,1,1,0,1,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,2,1,1,0,0,0,0,10
10,1,1,1,1,1,0,1,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,1,0,14
1,1,2,1,1,1,0,0,0,0,9
9,1,1,1,1,1,0,1,0,0,9
7,1,1,1,1,1,1,0,1,0,14
1,1,1,1,1,1,1,0,0,0,14
1,2,1,1,1,1,1,0,0,0,8
8,1,1,1,1,1,1,1,0,0,14
1,1,2,1,1,1,1,0,0,0,9
9,1,1,1,1,1,1,1,0,0,14
1,1,1,2,1,1,1,0,0,0,10
10,1,1,1,1,1,1,1,0,0,14
1,1,1,1,2,1,1,0,0,0,11
11,1,1,1,1,1,1,1,0,0,14
1,1,1,1,1,2,1,0,0,0,12
12,1,1,1,1,1,1,1,0,0,14
1,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,2,0,0,0,0,0,0,0,0,8
8,1,0,0,0,0,0,1,0,0,8
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,2,0,0,0,0,0,0,0,0,8
8,1,0,0,0,0,0,1,0,0,8
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,2,0,0,0,0,0,0,0,9
9,1,1,0,0,0,0,1,0,0,9
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,0,0,0,0,4
4,1,1,2,0,0,0,0,0,0,10
10,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,1,0,0,0,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,1,0,0,0,0,0,0,2
2,2,1,1,0,0,0,0,0,0,8
8,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,1,0,0,0,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,2,0,0,0,0,0,0,10
10,0,1,1,0,0,0,1,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,1,0,0,0,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,1,1,0,0,0,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,2,0,0,0,0,0,11
11,1,1,1,1,0,0,1,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,1,1,0,0,0,0,0,0,2
2,2,1,1,0,0,0,0,0,0,8
8,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,1,1,0,0,0,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,2,0,0,0,0,0,0,10
10,0,1,1,0,0,1,0,0,0,2
2,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,2,1,0,0,0,0,0,0,9
9,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,2,0,0,0,0,0,0,10
10,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,2,0,0,0,0,0,11
11,1,1,1,1,0,0,1,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,1,1,1,0,0,0,0,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,1,1,2,0,0,0,0,0,0,10
10,1,1,1,0,0,0,1,0,0,5
5,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,1,1,2,0,0,0,0,0,0,10
10,1,1,1,0,0,0,1,0,0,5
5,1,1,1,2,0,0,0,0,0,11
11,1,1,1,1,0,0,1,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,2,1,0,0,0,0,0,10
10,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,1,2,0,0,0,0,0,11
11,0,1,1,1,0,0,1,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,1,1,0,0,0,0,0,2
2,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,2,0,0,0,0,12
12,1,1,1,1,1,0,1,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
6,1,1,1,1,1,1,0,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,1,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,1,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,1,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,1,0,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,2,0,0,0,13
13,1,1,1,1,1,1,0,1,0,14
1,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,1,0,1,0,14
1,0,1,0,1,0,0,0,0,0,2
2,1,1,0,1,0,0,0,0,0,4
4,1,1,1,1,0,0,0,0,0,6
6,1,1,1,1,1,0,0,0,0,7
7,1,1,1,1,1,0,0,1,0,14
